iter	Passed	Remaining
886	1688	215
887	1690	213
888	1692	211
889	1693	209
890	1695	207
891	1697	205
892	1699	203
893	1701	201
894	1702	199
895	1704	197
896	1706	195
897	1707	193
898	1709	192
899	1711	190
900	1712	188
901	1714	186
902	1716	184
903	1718	182
904	1719	180
905	1721	178
906	1723	176
907	1724	174
908	1726	172
909	1728	170
910	1730	169
911	1731	167
912	1733	165
913	1734	163
914	1736	161
915	1737	159
916	1739	157
917	1741	155
918	1743	153
919	1745	151
920	1746	149
921	1748	147
922	1750	146
923	1751	144
924	1753	142
925	1755	140
926	1756	138
927	1758	136
928	1760	134
929	1762	132
930	1763	130
931	1765	128
932	1767	126
933	1768	125
934	1770	123
935	1772	121
936	1774	119
937	1775	117
938	1777	115
939	1779	113
940	1780	111
941	1782	109
942	1783	107
943	1785	105
944	1787	104
945	1788	102
946	1790	100
947	1792	98
948	1793	96
949	1795	94
950	1797	92
951	1798	90
952	1800	88
953	1802	86
954	1803	84
955	1805	83
956	1807	81
957	1808	79
958	1810	77
959	1812	75
960	1813	73
961	1815	71
962	1817	69
963	1818	67
964	1820	66
965	1822	64
966	1824	62
967	1825	60
968	1827	58
969	1828	56
970	1830	54
971	1832	52
972	1833	50
973	1835	49
974	1837	47
975	1838	45
976	1840	43
977	1842	41
978	1843	39
979	1845	37
980	1848	35
981	1849	33
982	1851	32
983	1852	30
984	1854	28
985	1855	26
986	1857	24
987	1859	22
988	1860	20
989	1862	18
990	1864	16
991	1865	15
992	1867	13
993	1869	11
994	1870	9
995	1872	7
996	1874	5
997	1875	3
998	1877	1
999	1879	0
