iter	Passed	Remaining
769	1364	407
770	1366	405
771	1367	403
772	1369	402
773	1370	400
774	1372	398
775	1374	396
776	1375	394
777	1377	392
778	1378	391
779	1380	389
780	1381	387
781	1383	385
782	1384	383
783	1386	381
784	1388	380
785	1390	378
786	1391	376
787	1393	374
788	1394	372
789	1396	371
790	1397	369
791	1399	367
792	1400	365
793	1401	363
794	1403	361
795	1405	360
796	1406	358
797	1408	356
798	1409	354
799	1410	352
800	1412	350
801	1413	348
802	1415	347
803	1416	345
804	1418	343
805	1419	341
806	1421	339
807	1422	338
808	1424	336
809	1425	334
810	1427	332
811	1428	330
812	1430	328
813	1431	327
814	1432	325
815	1434	323
816	1435	321
817	1436	319
818	1438	317
819	1440	316
820	1441	314
821	1443	312
822	1444	310
823	1446	308
824	1447	307
825	1448	305
826	1450	303
827	1451	301
828	1453	299
829	1454	297
830	1456	296
831	1457	294
832	1458	292
833	1460	290
834	1461	288
835	1463	287
836	1464	285
837	1466	283
838	1467	281
839	1469	279
840	1470	278
841	1471	276
842	1473	274
843	1474	272
844	1476	270
845	1478	269
846	1479	267
847	1481	265
848	1482	263
849	1484	261
850	1485	260
851	1487	258
852	1488	256
853	1490	254
854	1491	253
855	1493	251
856	1494	249
857	1496	247
858	1497	245
859	1499	244
860	1500	242
861	1502	240
862	1503	238
863	1505	236
864	1507	235
865	1508	233
866	1510	231
867	1511	229
868	1512	228
869	1514	226
870	1515	224
871	1517	222
872	1519	221
873	1520	219
874	1522	217
875	1523	215
876	1525	213
877	1526	212
878	1528	210
879	1529	208
880	1531	206
881	1533	205
882	1534	203
883	1536	201
884	1538	199
885	1539	198
886	1541	196
887	1542	194
888	1544	192
889	1545	191
890	1547	189
891	1549	187
892	1550	185
893	1552	184
894	1553	182
895	1555	180
896	1556	178
897	1558	176
898	1559	175
899	1560	173
900	1562	171
901	1563	169
902	1565	168
903	1566	166
904	1568	164
905	1569	162
906	1571	161
907	1572	159
908	1574	157
909	1575	155
910	1576	154
911	1578	152
912	1579	150
913	1581	148
914	1582	147
915	1584	145
916	1585	143
917	1587	141
918	1588	140
919	1590	138
920	1591	136
921	1593	134
922	1595	133
923	1596	131
924	1597	129
925	1599	127
926	1600	126
927	1602	124
928	1603	122
929	1605	120
930	1606	119
931	1608	117
932	1609	115
933	1610	113
934	1612	112
935	1613	110
936	1615	108
937	1616	106
938	1618	105
939	1619	103
940	1621	101
941	1622	99
942	1624	98
943	1625	96
944	1627	94
945	1629	93
946	1631	91
947	1632	89
948	1634	87
949	1636	86
950	1638	84
951	1639	82
952	1641	80
953	1643	79
954	1645	77
955	1647	75
956	1649	74
957	1650	72
958	1652	70
959	1654	68
960	1655	67
961	1657	65
962	1659	63
963	1661	62
964	1662	60
965	1664	58
966	1666	56
967	1667	55
968	1669	53
969	1671	51
970	1673	49
971	1674	48
972	1676	46
973	1678	44
974	1679	43
975	1681	41
976	1683	39
977	1685	37
978	1687	36
979	1688	34
980	1690	32
981	1692	31
982	1693	29
983	1695	27
984	1697	25
985	1699	24
986	1700	22
987	1702	20
988	1704	18
989	1706	17
990	1708	15
991	1709	13
992	1711	12
993	1713	10
994	1714	8
995	1716	6
996	1718	5
997	1720	3
998	1721	1
999	1723	0
